Tanggal,Hari,Beban
2023-01-01,Min,41071.67
2023-01-02,Sen,52105.83
2023-01-03,Sel,54002.45
2023-01-04,Rab,58356.22
2023-01-05,Kam,55516.31
2023-01-06,Jum,53142.6
2023-01-07,Sab,48042.54
2023-01-08,Min,46838.43
2023-01-09,Sen,57971.78
2023-01-10,Sel,60024.24
2023-01-11,Rab,61013.94
2023-01-12,Kam,62262.2
2023-01-13,Jum,60544.34
2023-01-14,Sab,52855.29
2023-01-15,Min,50996.05
2023-01-16,Sen,60614.03
2023-01-17,Sel,61683.66
2023-01-18,Rab,61204.1
2023-01-19,Kam,62616.23
2023-01-20,Jum,60039.39
2023-01-21,Sab,53977.14
2023-01-22,Min,50637.68
2023-01-23,Sen,59899.93
2023-01-24,Sel,59775.6
2023-01-25,Rab,60630.79
2023-01-26,Kam,62312.02
2023-01-27,Jum,60921.16
2023-01-28,Sab,52492.89
2023-01-29,Min,51044.75
2023-01-30,Sen,62417.94
2023-01-31,Sel,61898.13
2023-02-01,Rab,62191.09
2023-02-02,Kam,62098.38
2023-02-03,Jum,61420.39
2023-02-04,Sab,51292.56
2023-02-05,Min,49325.11
2023-02-06,Sen,59264.93
2023-02-07,Sel,60247.08
2023-02-08,Rab,61197.96
2023-02-09,Kam,62538.07
2023-02-10,Jum,61179.58
2023-02-11,Sab,52994.91
2023-02-12,Min,47872.04
2023-02-13,Sen,57924.89
2023-02-14,Sel,58137.95
2023-02-15,Rab,58786.54
2023-02-16,Kam,59400.53
2023-02-17,Jum,59351.97
2023-02-18,Sab,50936.94
2023-02-19,Min,47070.29
2023-02-20,Sen,57158.34
2023-02-21,Sel,57704.31
2023-02-22,Rab,57271.44
2023-02-23,Kam,57696.22
2023-02-24,Jum,58307.15
2023-02-25,Sab,52903.03
2023-02-26,Min,48897.43
2023-02-27,Sen,57543.95
2023-02-28,Sel,58279.61
2023-03-01,Rab,58253.5
2023-03-02,Kam,58300.43
2023-03-03,Jum,57705.92
2023-03-04,Sab,52168.61
2023-03-05,Min,48034.99
2023-03-06,Sen,58099.36
2023-03-07,Sel,60406.64
2023-03-08,Rab,58283.71
2023-03-09,Kam,57033.03
2023-03-10,Jum,57770.49
2023-03-11,Sab,50999.87
2023-03-12,Min,47437.17
2023-03-13,Sen,58781.9
2023-03-14,Sel,59289.25
2023-03-15,Rab,59172.14
2023-03-16,Kam,58206.03
2023-03-17,Jum,56872.38
2023-03-18,Sab,46768.83
2023-03-19,Min,43683.36
2023-03-20,Sen,54868.34
2023-03-21,Sel,55980.9
2023-03-22,Rab,56652.8
2023-03-23,Kam,57115.42
2023-03-24,Jum,55985.17
2023-03-25,Sab,48063.9
2023-03-26,Min,45564.29
2023-03-27,Sen,56473.14
2023-03-28,Sel,57368.11
2023-03-29,Rab,56771.62
2023-03-30,Kam,57286.3
2023-03-31,Jum,55457.05
2023-04-01,Sab,49909.79
2023-04-02,Min,46511.58
2023-04-03,Sen,55197.35
2023-04-04,Sel,55329.8
2023-04-05,Rab,54950.51
2023-04-06,Kam,53935.42
2023-04-07,Jum,45087.24
2023-04-08,Sab,43820.13
2023-04-09,Min,38652.04
2023-04-10,Sen,41687.58
2023-04-11,Sel,52660.96
2023-04-12,Rab,55020.97
2023-04-13,Kam,54301.25
2023-04-14,Jum,53017.2
2023-04-15,Sab,46924.93
2023-04-16,Min,43725.39
2023-04-17,Sen,54008.99
2023-04-18,Sel,55088.36
2023-04-19,Rab,55323.4
2023-04-20,Kam,55774.23
2023-04-21,Jum,52703.79
2023-04-22,Sab,44278.97
2023-04-23,Min,41200.69
2023-04-24,Sen,54016.71
2023-04-25,Sel,55327.78
2023-04-26,Rab,54660.26
2023-04-27,Kam,53834.57
2023-04-28,Jum,52961.55
2023-04-29,Sab,45485.63
2023-04-30,Min,40508.17
2023-05-01,Sen,41285.37
2023-05-02,Sel,53256.38
2023-05-03,Rab,53186.34
2023-05-04,Kam,53537.29
2023-05-05,Jum,54376.77
2023-05-06,Sab,46011.75
2023-05-07,Min,43108.82
2023-05-08,Sen,53670.32
2023-05-09,Sel,54804.75
2023-05-10,Rab,55017.01
2023-05-11,Kam,54568.72
2023-05-12,Jum,53137.93
2023-05-13,Sab,44483.71
2023-05-14,Min,41044.27
