Tanggal,Hari,Beban
2021-01-01,Jum,45716.98
2021-01-02,Sab,48891.7
2021-01-03,Min,50646.64
2021-01-04,Sen,61715.99
2021-01-05,Sel,63290.04
2021-01-06,Rab,60523.86
2021-01-07,Kam,63530.96
2021-01-08,Jum,62567.52
2021-01-09,Sab,55322.42
2021-01-10,Min,54046.64
2021-01-11,Sen,68186.82
2021-01-12,Sel,68482.79
2021-01-13,Rab,68734.76
2021-01-14,Kam,67167.55
2021-01-15,Jum,65700.15
2021-01-16,Sab,57840.73
2021-01-17,Min,54597.06
2021-01-18,Sen,66349.4
2021-01-19,Sel,68025.55
2021-01-20,Rab,67693.2
2021-01-21,Kam,67564.62
2021-01-22,Jum,65329.03
2021-01-23,Sab,55672.99
2021-01-24,Min,52649.07
2021-01-25,Sen,64840.01
2021-01-26,Sel,67172.33
2021-01-27,Rab,67292.01
2021-01-28,Kam,66635.4
2021-01-29,Jum,65008.08
2021-01-30,Sab,56242.69
2021-01-31,Min,54185.21
2021-02-01,Sen,65179.05
2021-02-02,Sel,65649.6
2021-02-03,Rab,66643.54
2021-02-04,Kam,64450.63
2021-02-05,Jum,63866.08
2021-02-06,Sab,57623.9
2021-02-07,Min,56539.52
2021-02-08,Sen,66765.01
2021-02-09,Sel,68336.52
2021-02-10,Rab,68877.11
2021-02-11,Kam,68472.06
2021-02-12,Jum,67473.47
2021-02-13,Sab,59407.04
2021-02-14,Min,56969.24
2021-02-15,Sen,68421.27
2021-02-16,Sel,65892.3
2021-02-17,Rab,65928.47
2021-02-18,Kam,65039.8
2021-02-19,Jum,63107.66
2021-02-20,Sab,53869.27
2021-02-21,Min,49364.48
2021-02-22,Sen,60979.93
2021-02-23,Sel,62132.57
2021-02-24,Rab,62472.11
2021-02-25,Kam,61747.92
2021-02-26,Jum,61826.06
2021-02-27,Sab,52827.04
2021-02-28,Min,49895.26
2021-03-01,Sen,61572.94
2021-03-02,Sel,61940.1
2021-03-03,Rab,62694.99
2021-03-04,Kam,63056.84
2021-03-05,Jum,62589.96
2021-03-06,Sab,54629.24
2021-03-07,Min,52311.7
2021-03-08,Sen,62172.61
2021-03-09,Sel,64277.3
2021-03-10,Rab,64363.29
2021-03-11,Kam,67068.03
2021-03-12,Jum,64955.44
2021-03-13,Sab,57642.8
2021-03-14,Min,53510.7
2021-03-15,Sen,63764.12
2021-03-16,Sel,64378.59
2021-03-17,Rab,63574.43
2021-03-18,Kam,63448.08
2021-03-19,Jum,63622.2
2021-03-20,Sab,55156.35
2021-03-21,Min,52831.75
2021-03-22,Sen,62823.93
2021-03-23,Sel,63271.24
2021-03-24,Rab,62321.09
2021-03-25,Kam,61147.11
2021-03-26,Jum,59901.22
2021-03-27,Sab,54741.38
2021-03-28,Min,50409.77
2021-03-29,Sen,60089.49
2021-03-30,Sel,59604.84
2021-03-31,Rab,58074.96
2021-04-01,Kam,57340.43
2021-04-02,Jum,48564.87
2021-04-03,Sab,48609.5
2021-04-04,Min,45905.57
2021-04-05,Sen,50756.57
2021-04-06,Sel,63147.29
2021-04-07,Rab,65674.62
2021-04-08,Kam,63496.46
2021-04-09,Jum,61552.53
2021-04-10,Sab,51511.01
2021-04-11,Min,50039.93
2021-04-12,Sen,61948.59
2021-04-13,Sel,63293.95
2021-04-14,Rab,62540.11
2021-04-15,Kam,62842.14
2021-04-16,Jum,61862.75
2021-04-17,Sab,52174.86
2021-04-18,Min,48246.0
2021-04-19,Sen,60415.68
2021-04-20,Sel,60305.7
2021-04-21,Rab,60613.8
2021-04-22,Kam,61167.63
2021-04-23,Jum,58596.03
2021-04-24,Sab,49662.44
2021-04-25,Min,46660.24
2021-04-26,Sen,57884.3
2021-04-27,Sel,58615.14
2021-04-28,Rab,58749.83
2021-04-29,Kam,60079.57
2021-04-30,Jum,58169.94
2021-05-01,Sab,46147.84
2021-05-02,Min,47268.56
2021-05-03,Sen,59425.56
2021-05-04,Sel,63223.37
2021-05-05,Rab,63107.66
2021-05-06,Kam,61787.43
2021-05-07,Jum,59412.42
2021-05-08,Sab,50281.91
2021-05-09,Min,47055.34
2021-05-10,Sen,57886.64
2021-05-11,Sel,58427.12
2021-05-12,Rab,57788.04
2021-05-13,Kam,46722.09
2021-05-14,Jum,50880.56
2021-05-15,Sab,47925.56
2021-05-16,Min,45665.47
2021-05-17,Sen,57089.14
2021-05-18,Sel,58463.8
2021-05-19,Rab,58143.57
2021-05-20,Kam,58215.01
2021-05-21,Jum,58752.8
2021-05-22,Sab,50760.86
2021-05-23,Min,44880.41
2021-05-24,Sen,45918.78
2021-05-25,Sel,57994.39
2021-05-26,Rab,60020.38
2021-05-27,Kam,59138.64
2021-05-28,Jum,56386.79
2021-05-29,Sab,48142.11
2021-05-30,Min,44600.38
2021-05-31,Sen,55149.44
2021-06-01,Sel,56281.71
2021-06-02,Rab,57175.14
2021-06-03,Kam,51196.13
2021-06-04,Jum,53139.34
2021-06-05,Sab,47471.78
2021-06-06,Min,44939.7
2021-06-07,Sen,56415.02
2021-06-08,Sel,57565.86
2021-06-09,Rab,57814.94
2021-06-10,Kam,57821.66
2021-06-11,Jum,57147.74
2021-06-12,Sab,49770.45
2021-06-13,Min,45626.49
2021-06-14,Sen,56549.16
2021-06-15,Sel,58333.48
2021-06-16,Rab,59005.94
2021-06-17,Kam,61035.23
2021-06-18,Jum,60077.32
2021-06-19,Sab,51141.02
2021-06-20,Min,47509.45
2021-06-21,Sen,59370.11
2021-06-22,Sel,59198.1
2021-06-23,Rab,57486.47
2021-06-24,Kam,57199.0
2021-06-25,Jum,56151.53
2021-06-26,Sab,47780.23
2021-06-27,Min,45039.0
2021-06-28,Sen,59145.66
2021-06-29,Sel,59135.69
2021-06-30,Rab,58908.14
2021-07-01,Kam,59978.7
2021-07-02,Jum,56918.43
2021-07-03,Sab,47890.28
2021-07-04,Min,45244.96
2021-07-05,Sen,57265.28
2021-07-06,Sel,59764.94
2021-07-07,Rab,58587.31
2021-07-08,Kam,57952.81
2021-07-09,Jum,57472.26
2021-07-10,Sab,48412.18
2021-07-11,Min,45382.28
2021-07-12,Sen,58099.27
2021-07-13,Sel,59341.04
2021-07-14,Rab,59026.0
2021-07-15,Kam,57853.94
2021-07-16,Jum,56982.05
2021-07-17,Sab,48862.32
2021-07-18,Min,45868.0
2021-07-19,Sen,56748.97
2021-07-20,Sel,57694.41
2021-07-21,Rab,56835.76
2021-07-22,Kam,57022.65
2021-07-23,Jum,55863.99
2021-07-24,Sab,48432.32
2021-07-25,Min,45961.09
2021-07-26,Sen,56652.69
2021-07-27,Sel,57224.9
2021-07-28,Rab,57065.5
2021-07-29,Kam,57662.09
2021-07-30,Jum,55399.94
2021-07-31,Sab,48918.56
2021-08-01,Min,44072.32
2021-08-02,Sen,54453.16
2021-08-03,Sel,55222.26
2021-08-04,Rab,54418.63
2021-08-05,Kam,55180.61
2021-08-06,Jum,54276.02
2021-08-07,Sab,46625.8
2021-08-08,Min,45069.28
2021-08-09,Sen,53507.5
2021-08-10,Sel,54355.94
2021-08-11,Rab,54555.92
2021-08-12,Kam,54834.11
2021-08-13,Jum,55112.14
2021-08-14,Sab,47832.55
2021-08-15,Min,44942.35
2021-08-16,Sen,56848.1
2021-08-17,Sel,57795.33
2021-08-18,Rab,57709.83
2021-08-19,Kam,57168.49
2021-08-20,Jum,54774.68
2021-08-21,Sab,46350.08
2021-08-22,Min,44478.72
2021-08-23,Sen,56356.42
2021-08-24,Sel,56405.21
2021-08-25,Rab,57222.84
2021-08-26,Kam,57192.6
2021-08-27,Jum,55858.26
2021-08-28,Sab,47588.81
2021-08-29,Min,45849.1
2021-08-30,Sen,57682.84
2021-08-31,Sel,58360.71
2021-09-01,Rab,57489.2
2021-09-02,Kam,56548.11
2021-09-03,Jum,55905.28
2021-09-04,Sab,47328.21
2021-09-05,Min,44674.07
2021-09-06,Sen,55340.39
2021-09-07,Sel,56728.54
2021-09-08,Rab,57352.37
2021-09-09,Kam,57778.53
2021-09-10,Jum,56564.95
2021-09-11,Sab,47847.9
2021-09-12,Min,45676.44
2021-09-13,Sen,55963.91
2021-09-14,Sel,57479.71
2021-09-15,Rab,59254.31
2021-09-16,Kam,59080.21
2021-09-17,Jum,56840.57
2021-09-18,Sab,48537.4
2021-09-19,Min,45321.99
2021-09-20,Sen,56224.52
2021-09-21,Sel,57956.69
2021-09-22,Rab,58088.61
2021-09-23,Kam,60380.18
2021-09-24,Jum,59032.43
2021-09-25,Sab,49175.06
2021-09-26,Min,46548.89
2021-09-27,Sen,58399.38
2021-09-28,Sel,58145.12
2021-09-29,Rab,60235.87
2021-09-30,Kam,60270.84
